"","parameter_name","f_n","m_n","f_intercept","f_intercept_se","f_slope","f_slope_se","m_intercept","m_intercept_se","m_slope","m_slope_se","fm_diff_int","fm_diff_int_se","fm_diff_int_p","fm_diff_slope","fm_diff_slope_se","fm_diff_slope_p","group_sd","f_sd","m_sd","Category","parameter_group","lnVR","VlnVR","low_lnVR","high_lnVR","t_val_sd","p_val_sd","Scen"
"213","time immobile",586,585,-0.215262777,0.259652596,-1.034793962,0.38236854,-0.137184447,0.260649445,-2.057609675,0.41373187,-0.07807833,0.057121233,0.171923885,1.022815713,0.54843173,0.06243487,0.361130405,0.899148726,1.049585518,"Behaviour","time mobile",-0.154703628269833,0.0017108652382625,-0.158056862519229,-0.151350394020437,-3.74018081487979,0.000192801173000801,"D"
"214","total number of acquired events in panel a",784,776,0.001348151,0.238042975,0.028226558,0.34845855,-0.042183392,0.2387121,0.134706196,0.342294682,0.043531542,0.045132343,0.334930152,-0.106479638,0.428233669,0.803665647,0.57695279,0.82685504,0.950157271,"Behaviour","number events",-0.139004715500233,0.00128373089440943,-0.141520781819117,-0.136488649181349,-3.87964990064662,0.000108965828965246,"D"
"215","total number of acquired events in panel b",787,783,0.084476731,0.222836006,-0.34328479,0.328940501,0.007267749,0.224373204,-0.136981613,0.369070577,0.077208982,0.046536488,0.097295249,-0.206303177,0.436658078,0.636665018,0.539971903,0.770219686,1.050895085,"Behaviour","number events",-0.3107250151417,0.00127551850477994,-0.313224985472683,-0.308225044810717,-8.70027211442673,0,"D"
"216","whole arena permanence",9175,9161,0.013907336,0.037809259,-0.238219476,0.110681065,0.004101345,0.038189615,-0.355212309,0.11005207,0.009805991,0.014625688,0.502570797,0.116992834,0.139714243,0.402394269,0.129745074,0.929130314,1.047315462,"Behaviour","whole arena",-0.119736547259208,0.000109087005901432,-0.119950353861956,-0.11952274065646,-11.4641067038405,0,"D"
"217","cone b-wave amplitude-left",93,95,-0.783269505,0.909569188,0.047184215,1.298498781,-0.790647238,0.906556508,-0.142230826,0.760585521,0.007377733,0.136363592,0.956911807,0.189415041,1.482280113,0.898458433,1.26304071,1.059830867,0.786841681,"Eye","cone b-wave amplitude",0.297953188158793,0.0107539315448659,0.276875869638647,0.319030506678939,2.87319037575227,0.00453615030588583,"D"
"218","cone b-wave amplitude-right",93,95,-0.796567043,1.007674036,-0.450286748,0.946879618,-0.964598125,1.009348021,-1.772567032,0.914679835,0.168031082,0.126205449,0.184710579,1.322280284,1.293270303,0.30792641,1.40943542,0.766403076,0.955577007,"Eye","cone b-wave amplitude",-0.220491479948388,0.0107539315448659,-0.241568798468534,-0.199414161428242,-2.12621990064242,0.0348037383915352,"D"
"219","left corneal thickness",118,120,-0.13383953,0.266168121,-0.206866382,1.164907203,-0.184689672,0.258161084,0.345936524,0.660286017,0.050850142,0.101695559,0.617538857,-0.552802906,1.247998773,0.658218968,0.564483718,0.883836929,0.65406353,"Eye","corneal thickness",0.30113991235315,0.00847518494577318,0.284528855097119,0.317750969609182,3.27109929607504,0.00123145213604126,"D"
"220","left inner nuclear layer",133,135,0.694109159,0.343313956,0.977922141,0.910713394,0.619959775,0.342135404,0.260031232,0.756471064,0.074149384,0.095300534,0.437244746,0.717890909,1.083786715,0.508309449,0.769357474,0.719935112,0.815986526,"Eye","inner nuclear layer",-0.125180221341952,0.00751922207146088,-0.139917625793774,-0.11044281689013,-1.44360793126636,0.150025972515079,"D"
"221","left outer nuclear layer",133,135,-0.062644465,0.554952621,0.101094723,0.695345885,-0.062353645,0.55400711,-0.072631144,0.531868566,-0.00029082,0.069522372,0.996665587,0.173725866,0.801464417,0.828565599,1.334178951,0.552795997,0.567101159,"Eye","outer nuclear layer",-0.0254921321345518,0.00751922207146088,-0.0402295365863738,-0.0107547276827298,-0.29398129944028,0.769001455105941,"D"
"222","left posterior chamber depth",84,82,-0.592409773,0.756836382,-0.66935071,1.871810893,-0.622289415,0.753896764,-1.206583434,0.901617975,0.029879641,0.143831913,0.835694529,0.537232725,2.079945182,0.796511627,1.048052247,1.073701563,0.748211672,"Eye","posterior chamber depth",0.361032697132997,0.012196935891715,0.337127142063492,0.384938252202503,3.2690470049134,0.00131485360905748,"D"
"223","left total retinal thickness",1280,1321,-1.303387291,0.381548567,0.306949728,0.295995139,-1.268231134,0.381139947,-0.266742297,0.176535289,-0.035156157,0.029787278,0.238012882,0.573692025,0.340833451,0.09245624,1.049576597,0.844754018,0.657640781,"Eye","total retinal thickness",0.2503987678337,0.000769718293174118,0.248890147700837,0.251907387966562,9.02539635745939,0,"D"
"224","right corneal thickness",117,121,-0.217338724,0.195069146,-0.038568679,0.834378706,-0.113225003,0.210237292,0.319003246,1.045295466,-0.104113721,0.118236495,0.379481982,-0.357571925,1.247198262,0.77460115,0.36898268,0.595711298,1.142444769,"Eye","corneal thickness",-0.651025950829734,0.00847701149425287,-0.667640588055002,-0.634411313604466,-7.07093613181256,1.73085989985111e-11,"D"
"225","right outer nuclear layer",130,134,-0.003388549,0.573942249,0.384124664,0.639680435,-0.050419242,0.573331355,0.08037094,0.52375795,0.047030693,0.066560567,0.48046958,0.303753724,0.753826037,0.687323097,1.383020863,0.498706612,0.563447176,"Eye","outer nuclear layer",-0.121939044973812,0.00763536748848866,-0.136904090259978,-0.106973999687646,-1.395493497304,0.164048675464284,"D"
"226","right posterior chamber depth",81,80,-0.470149249,0.668753145,-1.72459366,1.657476182,-0.587917976,0.670857127,-0.732567639,1.131614836,0.117768727,0.147861978,0.426965034,-0.992026022,2.009282015,0.62219718,0.923422417,0.934608986,0.934733956,"Eye","posterior chamber depth",-0.000212818657813863,0.0125791139240506,-0.0248674289063794,0.0244417915907517,-0.00189751262750846,0.998488383494151,"D"
"227","right total retinal thickness",1259,1311,-1.395194206,0.400374344,0.019301648,0.27757135,-1.378044586,0.40011296,-0.200072825,0.190379385,-0.017149619,0.02949958,0.561054912,0.219374474,0.332328274,0.509240225,1.101807548,0.782274467,0.707292208,"Eye","total retinal thickness",0.10077754923538,0.000779135669122198,0.0992504713848295,0.10230462708593,3.61041603411352,0.000311557144369257,"D"
"228","rod b-wave amplitude-left",93,95,-0.564052977,0.55868736,-0.099947217,1.265344545,-0.345315412,0.556228677,-0.259527358,0.869429372,-0.218737565,0.141492305,0.123848416,0.159580141,1.511191808,0.916016284,0.750424189,1.030977172,0.903395205,"Eye","rod b-wave amplitude",0.132217860354218,0.0107539315448659,0.111140541834072,0.153295178874365,1.27498915591344,0.203903407967858,"D"
"229","rod b-wave amplitude-right",93,95,-0.840615988,0.889035255,-1.437491161,1.028152176,-0.701792572,0.890449566,-1.280237035,0.929045668,-0.138823416,0.131750321,0.293416107,-0.157254127,1.361258094,0.908158705,1.237237046,0.833224428,0.969443092,"Eye","rod b-wave amplitude",-0.151303113741306,0.0107539315448659,-0.172380432261452,-0.13022579522116,-1.45903003390985,0.146243533667655,"D"
"230","12khz-evoked abr threshold",3779,3936,0.102846231,0.180806012,-0.062897944,0.098755799,0.110025729,0.180862486,0.111968092,0.100248059,-0.007179498,0.013457256,0.593700272,-0.174866036,0.122996541,0.155149547,0.876818745,0.543492671,0.626995102,"Hearing","abr threshold",-0.142917226797322,0.00025940995921684,-0.143425660974618,-0.142408792620026,-8.87342448577811,0,"D"
"231","lvawd",1778,794,0.342926149,0.379798925,1.913935267,0.268433642,0.388338618,0.380053489,1.938715303,0.343594191,-0.045412469,0.039395543,0.249128128,-0.024780036,0.413584653,0.952227785,0.644505947,0.865107284,0.881618064,"Heart","lvawd",-0.0192545451433702,0.000911890124691217,-0.0210418169456227,-0.0174672733411177,-0.637620112109696,0.523777801037757,"D"
"232","qtc dispersion",4557,4529,-0.052412195,0.419179611,-0.815115388,0.103951717,-0.052807544,0.419168717,-0.744750741,0.089716904,0.000395348,0.013584418,0.976783027,-0.070364646,0.136292417,0.605673503,1.02500357,0.664737543,0.629730599,"Heart","qtc dispersion",0.054099504639384,0.000220169418962142,0.0536679805077211,0.0545310287710469,3.64598426782007,0.000267858827796896,"D"
"233","st",5646,5636,-0.030643416,0.436545897,0.029500739,0.06742611,-0.039928582,0.436550058,0.164292395,0.060845958,0.009285167,0.009408771,0.323731055,-0.134791656,0.088160266,0.126307671,1.306430667,0.506277545,0.49292075,"Heart","st",0.0267364590179094,0.000177305103887744,0.0263889474000143,0.0270839706358045,2.00790550315372,0.0446771343181567,"D"
"234","basophil differential count",4218,4256,-0.052723497,0.163295014,0.166654369,0.107360979,-0.078570977,0.16324568,0.3959979,0.101333224,0.02584748,0.013642213,0.058170372,-0.229343532,0.131501525,0.081189005,0.795007592,0.641519987,0.611956663,"Hematology","basophil count",0.0471799312098696,0.000236076515318919,0.0467172297422488,0.0476426326774904,3.07065419268147,0.00214266885031877,"D"
"235","eosinophil differential count",4669,4651,-0.138608121,0.188646588,-0.078353055,0.084445352,-0.148474033,0.188628725,0.020263738,0.079677804,0.009865911,0.010810904,0.361482455,-0.098616793,0.10219397,0.334571821,0.90271643,0.531785554,0.510472762,"Hematology","eosinophils",0.0409026188169115,0.000214639135362247,0.0404819338419287,0.0413233037918943,2.79187943554305,0.00525096124309377,"D"
"236","monocyte differential count",4868,4804,0.08633216,0.152852641,0.949320281,0.10976955,0.093892283,0.152860991,0.809667343,0.108474518,-0.007560122,0.01436657,0.598740424,0.139652921,0.136447099,0.306099536,0.728922123,0.699356332,0.71203166,"Hematology","monocytes",-0.0179633593231281,0.000206834292706501,-0.0183687470876006,-0.0175579715586555,-1.24903982097904,0.211680744033486,"D"
"237","neutrophils",1086,1076,0.057267608,0.182308002,-0.631149909,0.299724314,0.01758632,0.183094306,-0.047446542,0.309425147,0.039681288,0.03986025,0.31960008,-0.583703368,0.387429752,0.132058858,0.47545009,0.846492603,0.99939117,"Hematology","neutrophils",-0.166049087155182,0.000925945772157325,-0.167863907520247,-0.164234266790116,-5.4568713604963,5.40106381841099e-08,"D"
"238","b cells",787,782,-0.038767568,0.20799211,-0.397292948,0.370564198,-0.005589255,0.208290239,-0.222602646,0.33774689,-0.033178313,0.046122859,0.472035251,-0.174690299,0.439945924,0.69136853,0.501463356,0.894799038,0.931020377,"Immunology","B cells",-0.0396860822908103,0.00127633718107861,-0.0421876571978538,-0.0371845073837669,-1.11085025263152,0.266803230218798,"D"
"239","b2b cells",778,773,-0.040871569,0.20664793,-0.490666754,0.367095964,-0.00790286,0.207050328,-0.294511073,0.34048902,-0.032968709,0.046176671,0.475354444,-0.196155677,0.440474713,0.656145321,0.498236499,0.881384978,0.935534733,"Immunology","B cells",-0.0596279315918789,0.00129116903728303,-0.0621585764029068,-0.0570972867808509,-1.65942715662978,0.0972321735266628,"D"
"240","cd24+ cd4 t cells",110,105,0.03955135,0.102243333,-0.225125396,1.709076546,-0.041634667,0.091876087,-0.711546667,1.178080569,0.081186017,0.13676425,0.55340504,0.486421271,2.075573238,0.814937604,0.012819285,1.067616535,0.935867294,"Immunology","cd4 t",0.131489682565192,0.00939484827099506,0.113076118313824,0.149903246816561,1.35658431583839,0.17634940705782,"D"
"241","cd24+ cd8 t cells",110,105,0.046294438,0.109104471,1.345586831,1.742490734,-0.038024244,0.0952258,-0.601741563,1.143339372,0.084318682,0.136391576,0.537106601,1.947328394,2.081986927,0.350696621,0.045663206,1.087737841,0.906933243,"Immunology","cd4 t",0.181566061652139,0.00939484827099506,0.16315249740077,0.199979625903507,1.87322432240049,0.0624071131541757,"D"
"242","cd4 cd25- t cells",722,713,-0.14814857,0.144655994,-0.619200227,0.40726021,-0.194358914,0.145121451,-0.090590485,0.370578436,0.046210346,0.050565937,0.36094325,-0.528609734,0.496209346,0.28692243,0.340180291,0.939752645,0.9744769,"Immunology","cd4 t",-0.0362928830991666,0.00139572846701678,-0.0390284606267168,-0.0335573055716164,-0.971451228107843,0.331487570128683,"D"
"243","cd4 cd25+ t cells",722,713,-0.310508969,0.249545728,-0.379957804,0.357220553,-0.281503325,0.249642678,0.077595265,0.317798042,-0.029005643,0.043595461,0.505943009,-0.457553069,0.428674507,0.285986759,0.605039923,0.822074001,0.828637337,"Immunology","cd4 t",-0.00796093833429834,0.00139572846701678,-0.0106965158618485,-0.00522536080674814,-0.213090354398505,0.83128679781513,"D"
"244","cd4 cd44-cd62l- t cells",447,444,0.076475067,0.56283314,-0.163533465,0.454865929,0.071697889,0.562867492,0.938385633,0.411044199,0.004777178,0.05747277,0.933774351,-1.101919098,0.588037017,0.061274326,0.971341225,0.853921062,0.861396259,"Immunology","cd4 t",-0.00872346535775578,0.00224974440474142,-0.0131328833654695,-0.0043140473500421,-0.183917244069591,0.854120317895012,"D"
"245","cd4 cd44-cd62l+ nkt cells",669,658,-0.43683781,0.316864297,0.530415949,0.362821642,-0.505603581,0.316618868,0.082805529,0.307839699,0.068765771,0.042981637,0.109863273,0.44761042,0.434874394,0.303533829,0.77044932,0.813828283,0.749342679,"Immunology","cd4 nkt",0.082540462946661,0.00150953800162233,0.0795818228301866,0.0854991030631353,2.12444198194975,0.0338179347553365,"D"
"246","cd4 cd44-cd62l+ t cells",612,608,-0.213160051,0.28420394,-0.520142047,0.392914745,-0.209094583,0.284302253,-0.452452173,0.364470954,-0.004065468,0.047834207,0.93228272,-0.067689874,0.513585519,0.895165417,0.563665517,0.825350823,0.845116381,"Immunology","cd4 t",-0.0236712035451441,0.00164205383455971,-0.026889569921557,-0.0204528371687312,-0.584153044124172,0.559225519642572,"D"
"247","cd4 cd44+cd62l- t cells",722,713,-0.122758856,0.136869154,-0.315991404,0.414516469,-0.193880346,0.137162015,0.279892431,0.370617175,0.071121489,0.051047338,0.163762605,-0.595883835,0.501650382,0.235091553,0.319734955,0.959463961,0.973397422,"Immunology","cd4 t",-0.0144264603073607,0.00139572846701678,-0.0171620378349109,-0.0116908827798105,-0.386152914458219,0.699440746754784,"D"
"248","cd4 cd44+cd62l+ nkt cells",721,713,-0.206064777,0.323581031,0.314897784,0.353293867,-0.271871354,0.323461411,0.179910017,0.297336256,0.065806577,0.041925785,0.116730957,0.134987767,0.414084705,0.744479249,0.787943687,0.817705478,0.768797925,"Immunology","cd4 nkt",0.0616662590363947,0.00139669163545568,0.0589287937333932,0.0644037243393962,1.65005088266586,0.0991518310627948,"D"
"249","cd4 cd44+cd62l+ t cells",675,670,-0.037097129,0.40604806,-0.259891617,0.316979147,-0.044010454,0.406127952,-0.193964776,0.282558948,0.006913325,0.038283805,0.85672391,-0.065926841,0.378576287,0.86177857,0.991652428,0.691242563,0.7119667,"Immunology","cd4 t",-0.0295458910398393,0.00148922391806718,-0.0324647162841666,-0.026627065795512,-0.765626735584927,0.444032962216136,"D"
"250","cd4 t cells",725,716,-0.116849368,0.11380273,-0.459725025,0.411904663,-0.151802518,0.114437959,0.002989767,0.375883866,0.03495315,0.05137717,0.496408962,-0.462714793,0.504940668,0.359624757,0.260136482,0.955354836,0.993624709,"Immunology","cd4 t",-0.0392854444988727,0.00138990843410733,-0.0420096149715315,-0.0365612740262139,-1.05375239870269,0.292173190765596,"D"
"251","cd44+ t-regs",108,105,0.034162526,0.090960719,-1.15120648,1.530759618,-0.035020045,0.103839348,0.778949103,1.337870046,0.069182571,0.137890395,0.616394106,-1.930155582,2.032962238,0.343503723,0.00608024,0.9441179,1.062926085,"Immunology","cd44+ t-regs",-0.118664584284289,0.00948058950395399,-0.137246198264248,-0.100082970304331,-1.21871863208866,0.224311815436015,"D"
"252","cd62l+ t-regs",110,105,-0.015107015,0.114968185,-1.780973199,1.635666442,0.045997483,0.114622157,1.021147996,1.238401528,-0.061104498,0.136532098,0.65494164,-2.802121195,2.04626165,0.172341436,0.083737777,1.019640402,0.98057858,"Immunology","cd62l+ t-regs",0.0388419755063463,0.00939484827099506,0.0204284112549776,0.057255539757715,0.400734215340154,0.689017489114566,"D"
"253","cd8 cd25- nkt cells",610,606,-0.188518939,0.328648541,-0.135805063,0.427755873,-0.162440584,0.328632496,0.575171945,0.386663287,-0.026078355,0.051459065,0.612402554,-0.710977008,0.552560852,0.198447105,0.652445125,0.899290545,0.895018829,"Immunology","cd8 nkt",0.00475598487131573,0.00164746434338911,0.00152701409245915,0.00798495565017231,0.117174322893005,0.906741295687588,"D"
"254","cd8 cd25- t cells",612,608,-0.110063678,0.228339148,-0.511919442,0.442470892,-0.146882901,0.228663064,0.025184728,0.420012145,0.036819223,0.054560054,0.499907002,-0.53710417,0.585031783,0.358761112,0.449146478,0.929100674,0.975732959,"Immunology","cd8 t",-0.0489772329369537,0.00164205383455971,-0.0521955993133666,-0.0457588665605408,-1.20864998090768,0.227031932624102,"D"
"255","cd8 cd25+ nkt cells",564,566,-0.046132655,0.306250536,0.227122556,0.439774039,0.018904859,0.30621976,0.664956896,0.398875236,-0.065037514,0.053208838,0.221848186,-0.43783434,0.570121814,0.442668654,0.606781994,0.896063827,0.892447223,"Immunology","cd8 nkt",0.00404741163204365,0.00177305521935271,0.000572287259511573,0.00752253600457572,0.096120549484201,0.923441904402063,"D"
"256","cd8 cd25+ t cells",571,570,-0.667922777,0.633702104,0.274109107,0.360478578,-0.650600881,0.633621536,0.452527904,0.311818235,-0.017321897,0.040631138,0.669955056,-0.178418796,0.461994949,0.699426853,1.265328364,0.699822186,0.671898397,"Immunology","cd8 t",0.0407176069836057,0.00175592760460025,0.0372760521191296,0.0441591618480819,0.971692706554698,0.331409747698129,"D"
"257","cd8 cd44-cd62l- t cells",595,586,0.300880653,0.291179766,-0.738612753,0.382659994,0.235867529,0.291471018,0.109361601,0.352994974,0.065013124,0.049668888,0.190814251,-0.847974354,0.467292082,0.069832138,0.64466492,0.832035601,0.873192235,"Immunology","cd8 t",-0.0482934525009614,0.0016964516964517,-0.0516184367275186,-0.0449684682744042,-1.1725125639575,0.241228183542726,"D"
"258","cd8 cd44-cd62l+ nkt cells",693,675,-0.377182091,0.324007596,0.60084521,0.333004511,-0.40769942,0.32414094,0.102149024,0.301424483,0.030517328,0.040909658,0.455815278,0.498696186,0.404083319,0.217363376,0.789283551,0.750077055,0.761689518,"Immunology","cd8 nkt",-0.0153823711177452,0.00146438311521243,-0.0182525092831301,-0.0125122329523602,-0.401972116622731,0.68776743151248,"D"
"259","cd8 cd44-cd62l+ t cells",722,713,-0.262486782,0.270932354,-0.616182862,0.36995704,-0.303406801,0.270926356,-0.324866246,0.322113546,0.040920019,0.044651631,0.359597244,-0.291316616,0.439852491,0.50788263,0.657512382,0.85352488,0.837253512,"Immunology","cd8 t",0.0192390201006555,0.00139572846701678,0.0165034425731053,0.0219745976282057,0.514970652877188,0.606652949486189,"D"
"260","cd8 cd44+cd62l- nkt cells",715,705,0.105234085,0.130023904,-0.478984182,0.43040476,0.100193635,0.129754418,0.099654083,0.365512854,0.005040449,0.051825918,0.922535875,-0.578638266,0.51007196,0.256809098,0.300952977,0.997627647,0.954389876,"Immunology","cd8 nkt",0.0442978973177688,0.00141050738477209,0.0415333536436877,0.0470624409918499,1.1794931688859,0.23839970585722,"D"
"261","cd8 cd44+cd62l- t cells",722,713,0.113534465,0.204524482,-0.111085479,0.405734526,0.116252753,0.204636,0.397907062,0.359067726,-0.002718289,0.049464842,0.956182847,-0.508992541,0.486578871,0.295708857,0.491152615,0.935848507,0.937171106,"Immunology","cd8 t",-0.00142103005858023,0.00139572846701678,-0.00415660758613043,0.00131454746896997,-0.0380366969417655,0.969663721264993,"D"
"262","cd8 cd44+cd62l+ nkt cells",720,710,-0.26127991,0.288274459,-0.08714984,0.362718191,-0.180706898,0.28829912,0.129938682,0.317641702,-0.080573012,0.043954489,0.066996675,-0.217088522,0.432197347,0.615541178,0.700583176,0.835609952,0.825901932,"Immunology","cd8 nkt",0.0116760912103847,0.00140062890984383,0.00893090899138522,0.0144212734293842,0.311986596110304,0.755096256024811,"D"
"263","cd8 cd44+cd62l+ t cells",722,713,-0.174673308,0.190051489,0.249346384,0.403249357,-0.123561819,0.190080231,0.623024682,0.352896921,-0.051111489,0.048906987,0.296165242,-0.373678298,0.481532529,0.437866565,0.45507602,0.931815806,0.920128899,"Immunology","cd8 t",0.0126126283537637,0.00139572846701678,0.00987705082621354,0.0153482058813139,0.337602093238301,0.735712509678085,"D"
"264","cd8 nkt cells",723,714,-0.201627598,0.226616558,0.108455269,0.386033025,-0.149149392,0.226695476,0.319726355,0.341011503,-0.052478206,0.046940585,0.26376748,-0.211271087,0.462140266,0.647627072,0.547087367,0.889860388,0.888821659,"Immunology","cd8 nkt",0.00115923466862196,0.00139378304771303,-0.00157252990715805,0.00389099924440197,0.0310508699215035,0.975233288785266,"D"
"265","cd8 t cells",725,716,-0.151523056,0.172992007,-0.474816329,0.400458629,-0.187581904,0.173364099,-0.066256468,0.364350822,0.036058847,0.049507294,0.466515857,-0.408559861,0.486772418,0.40142751,0.412374282,0.922263073,0.955798956,"Immunology","cd8 t",-0.0357257753377096,0.00138990843410733,-0.0384499458103684,-0.0330016048650507,-0.958271490569618,0.338086845804783,"D"
"266","cellularity",10,10,1.924810506,2.016836394,14.62134465,3.588163313,1.182853638,2.06165405,15.52060053,11.22406305,0.741956868,0.463342072,0.130152649,-0.899255876,10.57519109,0.933358571,2.80811164,0.399358821,1.409741569,"Immunology","cellularity",-1.26130136866332,0.111111111111111,-1.47907514472333,-1.04352759260331,-3.78390410598996,0.00135928059739099,"D"
"267","dn cd25+ t cells",607,603,-0.206389248,0.333044331,-0.015718292,0.373589561,-0.232498618,0.333335151,0.022444955,0.3670397,0.02610937,0.04702245,0.578824651,-0.038163247,0.501704333,0.939378278,0.66241213,0.781318493,0.852451007,"Immunology","dn t",-0.0871383517395706,0.00165564729230398,-0.0903833608035877,-0.0838933426755535,-2.14153624539238,0.0324303856065442,"D"
"268","dn cd44+cd62l+ nkt cells",717,708,-0.188372383,0.328493049,-0.266717613,0.334572028,-0.223009955,0.328527649,-0.560788724,0.294713323,0.034637572,0.040690874,0.39478171,0.294071111,0.39937446,0.461652291,0.800506586,0.769234202,0.766173191,"Immunology","dn nkt",0.00397834545299639,0.00140553760084708,0.00122354237641929,0.00673314852957349,0.106116094423894,0.915505198443464,"D"
"269","dp t cells",593,584,-0.3521025,0.421181484,-0.084891047,0.337079839,-0.360555077,0.421053875,0.162654945,0.276289664,0.008452577,0.040848779,0.836105557,-0.247545991,0.391959856,0.527798198,0.93846562,0.729306474,0.67055374,"Immunology","dp t",0.0839771599652312,0.00170222752769923,0.0806408553174481,0.0873134646130144,2.03541222372267,0.0420334342274962,"D"
"270","follicular b cells",471,460,-0.539637285,0.603222058,-0.691203319,0.465929688,-0.531218039,0.603649587,-0.522113084,0.44914625,-0.008419246,0.059298505,0.887126199,-0.169090235,0.567653015,0.765864807,1.342463283,0.845786668,0.957718635,"Immunology","follicular b cells",-0.124312366923884,0.00215315440597043,-0.12853247201274,-0.120092261835028,-2.67902488756408,0.00751419489471772,"D"
"271","follicular b cells (cd21/35+)",497,500,-0.027196286,0.164028752,-0.26310463,0.531838485,-0.047161134,0.165048177,0.357344365,0.50959322,0.019964848,0.062096553,0.747889479,-0.620448995,0.709919833,0.382346053,0.270278207,0.934783422,1.024137306,"Immunology","follicular b cells",-0.0912849557602499,0.00201006852414506,-0.0952246176740319,-0.087345293846468,-2.03607503042679,0.0420072612079461,"D"
"272","klrg1+ cd4 t cells",110,105,0.305913138,0.48901469,-0.010643602,1.412982389,0.074427787,0.490112166,1.149472143,1.136641921,0.231485351,0.121268539,0.057642859,-1.160115744,1.801145733,0.520214253,0.680597546,0.877557207,0.895661944,"Immunology","klrg1",-0.0206414371054991,0.00939484827099506,-0.0390550013568678,-0.00222787285413039,-0.212958532467378,0.831562985427681,"D"
"273","klrg1+ cd4+ nkt cells",109,105,0.241361919,0.317326609,2.315089813,1.553886947,-0.009375555,0.317414041,1.117708737,1.170754821,0.250737473,0.129320866,0.053862592,1.197381076,1.93280257,0.53625841,0.427995556,0.965071618,0.922248833,"Immunology","klrg1",0.0452091803587158,0.00943732193732194,0.026712369251055,0.0637059914663766,0.465374141560901,0.642141240357303,"D"
"274","mzb",177,171,-0.699250032,0.614827109,-2.155378923,1.1414939,-0.592933465,0.61417249,0.281100699,0.839863455,-0.106316567,0.101604602,0.296126661,-2.436479624,1.355075203,0.073052466,1.032108027,1.004568531,0.886419951,"Immunology","mzb",0.125022314903363,0.00578208556149733,0.113689635447299,0.136354994359427,1.64416454596136,0.101050469618228,"D"
"275","mzb (cd21/35 high)",451,453,-0.394692548,0.453905883,-0.286285958,0.538393512,-0.388397312,0.453868599,0.584319547,0.438540733,-0.006295236,0.054067451,0.90733541,-0.870605505,0.689751267,0.207203774,0.732195961,0.817324618,0.808237627,"Immunology","mzb",0.0111851535137887,0.0022173058013766,0.00683931400037884,0.0155309930271985,0.237535843328352,0.812295057618718,"D"
"276","nk cells (panel a)",786,777,-0.128216165,0.250890489,-0.355585875,0.359112053,-0.045129278,0.250838001,0.114548222,0.309796597,-0.083086886,0.043310697,0.055244396,-0.470134096,0.415904356,0.258486388,0.608364725,0.869940848,0.841621377,"Immunology","nk cells",0.0330875892221876,0.00128127257206645,0.0305763411265584,0.0355988373178169,0.924366846717804,0.355438216044544,"D"
"277","nk cells (panel b)",732,723,0.093335064,0.214837699,-0.428893237,0.414050688,0.153967292,0.215195897,-0.13552336,0.368556969,-0.060632229,0.049399668,0.219879088,-0.293369876,0.481968638,0.542825011,0.514679557,0.920508123,0.962388232,"Immunology","nk cells",-0.044500637883295,0.00137651530366704,-0.0471985583026506,-0.0418027174639394,-1.19943222903934,0.230555473318419,"D"
"278","nk klrg1+ cells",110,105,0.090768563,0.09656308,0.822590417,1.613061926,-0.095703982,0.097327739,1.17696081,1.248603116,0.186472545,0.136387437,0.173015918,-0.354370393,2.039643285,0.862236096,0.012991138,1.00762744,0.991902317,"Immunology","nk cells",0.0155086091220536,0.00939484827099506,-0.00290495512931516,0.0339221733734223,0.160002940801193,0.873030388166672,"D"
"279","nk subsets (q1)",640,634,-0.245358897,0.214000241,-0.154252753,0.378254543,-0.205501419,0.21420764,0.162922773,0.345048452,-0.039857478,0.046117142,0.387605636,-0.317175526,0.481359324,0.510069407,0.512759922,0.815317771,0.830278028,"Immunology","nk cells",-0.0181900946796487,0.00157236202894036,-0.0212718676270302,-0.0151083217322673,-0.458731629621734,0.646505266962127,"D"
"280","nk subsets (q2)",640,634,-0.110170698,0.241425686,-1.506611629,0.39314616,-0.203687675,0.241990923,-0.501915452,0.381244616,0.093516978,0.049512973,0.059155693,-1.004696177,0.514814339,0.051209726,0.580178075,0.843480785,0.921355505,"Immunology","nk cells",-0.0883162558495725,0.00157236202894036,-0.091398028796954,-0.0852344829021911,-2.22722644832032,0.0261065934377536,"D"
"281","nk subsets (q4)",575,566,0.175787961,0.121164062,-1.256462114,0.478566379,0.215272201,0.123443653,-0.858183468,0.469215647,-0.03948424,0.057644558,0.493509131,-0.398278647,0.646749836,0.538140017,0.246835941,0.902598829,1.0384031,"Immunology","nk cells",-0.140175016891418,0.00175603589158521,-0.143616783994485,-0.136733249788352,-3.34506008422956,0.000849453647520537,"D"
"282","nkt dn klrg1+ cells",110,105,0.188837532,0.416211221,0.541432011,1.514086661,0.133359316,0.416825669,0.385514994,1.169123438,0.055478217,0.127250195,0.663300922,0.155917017,1.90020065,0.934682782,0.573778351,0.940608573,0.920991604,"Immunology","nk cells",0.0208556274844021,0.00939484827099506,0.00244206323303343,0.0392691917357709,0.215168343176133,0.829841952001627,"D"
"283","others",786,777,-0.112975014,0.112692485,-0.150577193,0.386107252,-0.050209072,0.113382455,0.263414093,0.3547784,-0.062765942,0.048559684,0.196358018,-0.413991286,0.463752852,0.372157086,0.259764254,0.935574366,0.982736987,"Immunology","others",-0.0491882741478524,0.00128127257206645,-0.0516995222434817,-0.0466770260522232,-1.37417112997316,0.169585825733952,"D"
