parameter_name,f_n,m_n,f_intercept,f_intercept_se,f_slope,f_slope_se,m_intercept,m_intercept_se,m_slope,m_slope_se,fm_diff_int,fm_diff_int_se,fm_diff_int_p,fm_diff_slope,fm_diff_slope_se,fm_diff_slope_p,group_sd,f_sd,m_sd,Category,parameter_group,lnVR,VlnVR,low_lnVR,high_lnVR,t_val_sd,p_val_sd
nk subsets (q4),575,566,0.175787961,0.121164062,-1.256462114,0.478566379,0.215272201,0.123443653,-0.858183468,0.469215647,-0.03948424,0.057644558,0.493509131,-0.398278647,0.646749836,0.538140017,0.246835941,0.902598829,1.0384031,Immunology,nk cells,-0.14017501689141837,0.0017560358915852117,-0.14361678399448508,-0.13673324978835166,-3.345060084229565,8.494536475205372e-4
nkt cells (panel a),786,777,0.082602011,0.230864271,0.095741735,0.386800571,-0.119155768,0.230762849,0.276876983,0.331788737,0.201757778,0.046553351,1.56e-5,-0.181135255,0.447247178,0.685533011,0.557683628,0.938457622,0.901167662,Immunology,nkt cells,0.040538988103152485,0.0012812725720664521,0.038027740007523236,0.04305023619878173,1.1325363220150635,0.25758295142468834
nkt cells (panel b),726,717,0.345892762,0.378304415,-0.053196136,0.2845219,0.177339711,0.378368849,-0.095773699,0.249989199,0.168553051,0.033624854,6.03e-7,0.042577563,0.328851076,0.897000999,0.923542961,0.630537034,0.646073217,Immunology,nkt cells,-0.024349614029534995,0.0013879791947601617,-0.027070003262555816,-0.021629224796514173,-0.6535827831621837,0.513484914131104
nkt dn klrg1+ cells,110,105,0.188837532,0.416211221,0.541432011,1.514086661,0.133359316,0.416825669,0.385514994,1.169123438,0.055478217,0.127250195,0.663300922,0.155917017,1.90020065,0.934682782,0.573778351,0.940608573,0.920991604,Immunology,nk cells,0.020855627484402145,0.00939484827099506,0.002442063233033434,0.039269191735770856,0.2151683431761326,0.8298419520016267
nkt subsets (q1),640,633,0.687651979,0.385708331,-0.655841536,0.312886576,0.580790296,0.385652914,-0.494824662,0.267570627,0.106861683,0.036903356,0.003848002,-0.161016874,0.386619093,0.677133758,0.940528151,0.676520054,0.639570937,Immunology,nkt cells,0.05615588370873129,0.001573611853964858,0.05307166114931487,0.05924010626814771,1.415619240573442,0.1571319995352225
nkt subsets (q3),574,565,0.92598262,0.526129313,0.338475901,0.349156926,0.705484086,0.526232789,-0.197568575,0.310530495,0.220498534,0.039410583,2.77e-8,0.536044469,0.446355084,0.23002697,1.172997013,0.653191443,0.676213744,Immunology,nkt cells,-0.034652879000385016,0.001759125171735175,-0.0381007009812838,-0.031205057019486237,-0.8262109577707043,0.40885776793435924
others,786,777,-0.112975014,0.112692485,-0.150577193,0.386107252,-0.050209072,0.113382455,0.263414093,0.3547784,-0.062765942,0.048559684,0.196358018,-0.413991286,0.463752852,0.372157086,0.25976425400000003,0.935574366,0.982736987,Immunology,others,-0.04918827414785245,0.0012812725720664521,-0.0516995222434817,-0.0466770260522232,-1.3741711299731576,0.16958582573395198
pdcs,841,830,-0.034468341,0.198349594,0.134390507,0.330137727,-0.098477943,0.198808003,0.305362453,0.317663352,0.064009601,0.043492107,0.141277145,-0.170971946,0.403556282,0.671866278,0.478433753,0.854008457,0.921482446,Immunology,pdcs,-0.07605052921614466,0.0011983744040438855,-0.07839929988806534,-0.07370175854422399,-2.196878195158444,0.02816619735228354
rp macrophage (cd19-  cd11c-),611,612,-0.16832015,0.408113726,0.468869606,0.320715551,-0.258412908,0.40827823,0.50320336,0.313705416,0.090092758,0.040210827,0.02523783,-0.034333755,0.430099819,0.936387658,0.8140114,0.673009641,0.731920457,Immunology,rp macrophage (cd19-  cd11c-),-0.08391084627994233,0.001638002736712189,-0.08712127265047627,-0.08070041990940839,-2.073293516856891,0.03835428652709849
rp macrophage (f4/80+),269,259,0.032634167,0.161093475,-0.259545525,0.69919134,0.155916399,0.159986646,0.314642678,0.559308882,-0.123282232,0.08553394,0.150092404,-0.574188204,0.727932762,0.430591144,0.25348392,1.026584292,0.936615733,Immunology,rp macrophage (f4/80+),0.09164694156014097,0.003803656137915076,0.08419191252025271,0.09910197060002923,1.4859950133083684,0.13787954043946415
t cells (panel a),725,716,-0.119042422,0.139722741,-0.446645817,0.406808992,-0.18637516,0.140257956,0.011165232,0.372084921,0.067332737,0.050581742,0.183346009,-0.457811048,0.497083307,0.357208366,0.327615493,0.939090879,0.979598584,Immunology,t cells,-0.042239315280788996,0.001389908434107329,-0.04496348575344782,-0.03951514480813017,-1.132983993549257,0.25740970955345865
t cells (panel b),782,776,0.1982769,0.160216169,-1.499221274,0.37933986,0.132769637,0.16036684,-0.936014526,0.336126916,0.065507263,0.046727886,0.161149041,-0.563206748,0.445610329,0.206456206,0.38149786,0.920237271,0.923516022,Immunology,t cells,-0.003561565075881099,0.0012853661558795589,-0.006080836448351731,-0.0010422937034104676,-0.09934075440477615,0.9208805174056169
t subset,640,635,-0.060081847,0.219479541,-1.439196522,0.419904226,0.091318063,0.219990656,-0.630784398,0.397106434,-0.15139991,0.052180104,0.003778206,-0.808412124,0.54360239,0.1372272,0.523726168,0.903155671,0.95863007,Immunology,t cells,-0.05961649412284769,0.0015711161465815572,-0.06269582518567689,-0.056537163060018485,-1.5040500444930496,0.13281652613519457
transitional b cells,222,217,-0.179776924,0.454936037,-0.649871859,0.765154146,0.163755017,0.45453263,-1.276700354,0.611513369,-0.34353194,0.077679148,1.24e-5,0.626828495,0.949860524,0.50965918,0.887616992,0.849137587,0.775705916,Immunology,B cells,0.09039538539293801,0.0045772582537288425,0.08142412406769078,0.09936664671818524,1.3361141163654933,0.18220730805727614
transitional b cells (cd21/35 low),497,500,0.143618328,0.438107063,0.454775316,0.516512387,0.201865947,0.438244842,0.442296587,0.470391002,-0.058247619,0.058495624,0.319609704,0.012478729,0.670758663,0.985160834,0.754024925,0.90508568,0.941650992,Immunology,B cells,-0.0395990353502894,0.0020100685241450644,-0.04353869726407131,-0.03565937343650749,-0.8832409068310135,0.3773194702453928
area under glucose response curve,11545,11477,-0.654329629,0.099877452,0.058157227,0.072918905,0.308239308,0.09984456,1.295889246,0.06836844,-0.962568936,0.010519253,0,-1.237732019,0.09206327,4.75e-41,0.358463144,0.82220764,0.773075395,Metabolism,area under glucose response curve,0.061616130512263285,8.688173118288141e-5,0.06144584544823035,0.06178641557629622,6.6104372679422205,3.9157344033924346e-11
fasted blood glucose concentration,11605,11557,-0.297903793,0.174547283,0.954751912,0.065068209,-0.030437546,0.174541808,1.8891125,0.063004971,-0.267466247,0.009537434,3.32e-170,-0.934360588,0.083352101,4.34e-29,0.628576183,0.733836844,0.717455001,Metabolism,fasted blood glucose concentration,0.022576312259950982,8.63561567733832e-5,0.022407057302831858,0.022745567217070106,2.4294409651290767,0.01512967885380423
glucose,9540,9506,-0.360389413,0.197513339,0.141665801,0.044014169,-0.200352225,0.19751728,0.656465664,0.041583082,-0.160037189,0.00613332,1.71e-147,-0.514799863,0.051654065,2.44e-23,1.148661814,0.42526935,0.420896007,Metabolism,glucose,0.010336756471865636,1.0502028853668036e-4,0.010130920488687738,0.010542592455043534,1.0086666948145908,0.313147324940104
glycosilated hemoglobin a1c (hba1c),390,389,-0.455876971,0.188686339,2.172838446,0.638900081,0.632507418,0.189012618,2.971392166,0.594053939,-1.088384389,0.054765514,2.59e-71,-0.79855372,0.86867602,0.358237567,0.316443913,0.7506118,0.777634719,Metabolism,glycosilated hemoglobin a1c (hba1c),-0.035371606485283015,0.0025740068375162324,-0.04041656718277467,-0.03032664578779136,-0.6971880533630674,0.4858936565282046
initial response to glucose challenge,11582,11527,-0.303689492,0.077686436,-0.399165016,0.08204709,0.063742829,0.077687534,0.005471561,0.081078082,-0.367432321,0.012147036,3.78e-197,-0.404636578,0.106201956,1.39289e-4,0.277379127,0.923486332,0.922848727,Metabolism,initial response to glucose challenge,6.904649639433027e-4,8.655434851189526e-5,5.2082155815466e-4,8.601083697319454e-4,0.07421594133372778,0.940839203904704
insulin,1277,1300,-0.113875059,0.182972868,1.537549148,0.219476863,0.449302874,0.182622858,2.954195003,0.181901579,-0.563177933,0.028651316,3.04e-80,-1.416645855,0.271728173,2e-7,0.479165371,0.775569242,0.674153542,Metabolism,insulin,0.14014631151197665,7.767610001423811e-4,0.13862388792710229,0.14166873509685102,5.0284943442161305,5.283292108249071e-7
respiratory exchange ratio,2955,6590,0.19935114,0.157486303,-1.332052232,0.190393588,0.166393831,0.156990222,-1.018835926,0.120008884,0.032957311,0.020806344,0.11322623,-0.313216316,0.212538658,0.140597836,0.605187791,0.819166788,0.860778557,Metabolism,respiration rate,-0.04945618910928263,2.451460667761137e-4,-0.049936666571115465,-0.04897571164744979,-3.158698568205886,0.001589696503297322
total food intake,2605,4009,0.244998208,0.226473298,0.261051488,0.139637022,0.263451966,0.226490053,-0.104259406,0.133593538,-0.018453759,0.018885927,0.3285471,0.365310894,0.177456782,0.039572626,0.782505713,0.550241393,0.783052117,Metabolism,total food intake,-0.3527749143467522,3.1676278778847833e-4,-0.3533957580024601,-0.35215407069104426,-19.82123072379605,0
total water intake,1155,2650,-0.289030668,0.27138677,0.235378669,0.050561556,-0.316333966,0.271353619,-0.019487658,0.023365458,0.027303298,0.005605962,1.16e-6,0.254866326,0.050491357,4.68e-7,0.899928745,0.154616758,0.102635355,Metabolism,total water intake,0.4100115872083575,6.220260351344119e-4,0.40879243858204783,0.4112307358346672,16.439622815793236,0
bmc/body weight,10931,10961,0.159048204,0.455599162,-1.912441581,0.062457346,-0.690779246,0.455601757,-2.758518028,0.062270165,0.84982745,0.00911943,0,0.846076447,0.086823139,2.16e-22,1.365945666,0.662903697,0.686137317,Morphology,bmc/body weight,-0.034447926790260736,9.136609211905891e-5,-0.03462700104022226,-0.03426885254029921,-3.6038820160701657,3.1419471019589196e-4
body length,8493,8504,-0.043951269,0.168775124,5.592603699,0.074157378,0.319098365,0.168796823,4.853544276,0.071862858,-0.363049632,0.011421926,2.01e-215,0.739059423,0.101263185,3.04e-13,0.520424777,0.743292749,0.745554188,Morphology,body length,-0.0030377656435338434,1.1768172038031076e-4,-0.003268417577117966,-0.002807113709949721,-0.28002690583580425,0.7794602705803486
bone area,10942,10964,-0.344509171,0.211109132,3.218617343,0.080861451,-0.048152194,0.211093085,2.359410923,0.074521387,-0.296356976,0.011349436,4.9e-148,0.859206421,0.108267266,2.19e-15,0.630501538,0.859319469,0.819861099,Morphology,bone area,0.04700591813746658,9.130761584968486e-5,0.04682695849888698,0.04718487777604618,4.919251632458702,8.750543663005317e-7
bone mineral content (excluding skull),10942,10964,-0.408729134,0.346532823,3.495039546,0.066291892,-0.154248905,0.346536409,2.60701701,0.065946508,-0.254480229,0.009667958,2.34e-150,0.888022536,0.092056461,5.63e-22,1.038342765,0.703827097,0.72684005,Morphology,bone mineral content (excluding skull),-0.03217362272304772,9.130761584968486e-5,-0.032352582361627316,-0.03199466308446812,-3.3670259485116185,7.611423600231149e-4
bone mineral density (excluding skull),10943,10964,-0.17950734,0.424872773,1.320504666,0.046729665,-0.140234228,0.424880854,1.023380623,0.051510507,-0.039273112,0.007210628,5.19e-8,0.297124042,0.068483533,1.44e-5,1.274065538,0.495574508,0.569135366,Morphology,bone mineral density (excluding skull),-0.13840050809307622,9.130343931323607e-5,-0.1385794595457948,-0.13822155664035765,-14.484186754846393,0
fat mass,11079,11063,-0.834048171,0.237977696,5.213775324,0.055157115,-0.155676173,0.23799417,4.467633096,0.059103847,-0.678371997,0.008349435,0,0.746142229,0.079440075,6.41e-21,0.822854631,0.585326223,0.65492441,Morphology,fat mass,-0.11235055171884122,9.033428385346242e-5,-0.11252760366176322,-0.11217349977591921,-11.820855445497951,0
fat/body weight,11068,11060,-0.728459288,0.287873984,3.613850196,0.06670786,-0.466417226,0.287893794,2.714526383,0.071456228,-0.262042062,0.010095968,2.47e-146,0.899323813,0.096053152,8.49e-21,0.995382975,0.707698798,0.791550499,Morphology,fat mass,-0.11197513499020348,9.039140655605938e-5,-0.11215229889156528,-0.11179797108884168,-11.777633141972537,0
heart weight,10017,9926,-0.419165654,0.146169564,2.570105645,0.0662044,0.512932903,0.146215576,3.104464346,0.071755092,-0.932098557,0.010133713,0,-0.534358701,0.088928431,1.9e-9,0.582169459,0.66800415,0.759393983,Morphology,heart weight,-0.12822679601952375,1.0029796154867577e-4,-0.12842337641188192,-0.12803021562716557,-12.8036188592928,0
heart weight normalised against body weight,8098,8003,0.137145531,0.153490788,-2.667480719,0.072490111,-0.076689665,0.153546048,-2.254847617,0.077162811,0.213835196,0.011474922,1.07e-76,-0.412633102,0.095333633,1.51e-5,0.591721403,0.680510068,0.771712435,Morphology,heart weight,-0.12577010323576948,1.2423564480622466e-4,-0.1260136006251858,-0.12552660584635317,-11.283772155514571,0
lean mass,11080,11064,-0.971817828,0.151139224,3.801219149,0.043027588,0.19229735,0.151158477,4.210755758,0.047086163,-1.164115178,0.006592266,0,-0.409536609,0.062683209,6.57e-11,0.522082588,0.456533413,0.522087016,Morphology,lean mass,-0.1341724453557706,9.032612430344921e-5,-0.13434948130626845,-0.13399540940527277,-14.11746263863253,0
lean/body weight,11069,11061,-0.54009704,0.2321667,-3.211352382,0.064099556,-0.638449899,0.232195749,-2.591240178,0.070513954,0.098352859,0.009850502,2e-23,-0.620112204,0.093645888,3.63e-11,0.802104059,0.679866034,0.78173279,Morphology,lean mass,-0.13961724412371623,9.03832366870982e-5,-0.1397943920124291,-0.13944009623500336,-14.685715700133144,0
number of caudal vertebrae,2960,2894,-1.351949476,0.433046357,0.183842177,0.075912847,-1.357603874,0.433048525,0.381236348,0.076731181,0.005654398,0.010541612,0.591710618,-0.197394171,0.106242724,0.063225716,1.29840988,0.406754766,0.3995952,Morphology,number of caudal vertebrae,0.01775457364540714,3.418069767172909e-4,0.01708464428137673,0.01842450300943755,0.9603284302446193,0.3369296213357036
number of center entries,6602,6628,0.029874245,0.324094574,-0.250787311,0.079115767,0.022261968,0.324091899,0.130233265,0.071899573,0.007612277,0.008884196,0.391552404,-0.381020576,0.099418297,1.27435e-4,1.024479283,0.518509118,0.503018072,Morphology,number of center entries,0.030331812151538594,1.5119502015632614e-4,0.030035475357390387,0.0306281489456868,2.4667754301558564,0.013646160578367095
number of cervical vertebrae,4878,4835,0.017228075,0.018784478,0.010019899,0.14499005,0.01718618,0.018955519,0.027816511,0.138166511,4.19e-5,0.020293978,0.998352907,-0.017796612,0.198208989,0.928458246,0.022711759,0.997695902,1.002240395,Morphology,number of cervical vertebrae,-0.004545557542394417,2.059560513412742e-4,-0.004949223985421396,-0.004141891099367438,-0.31673778951275966,0.7514493804985365
number of digits,5933,5886,0.016745192,0.020156795,0.080209601,0.149942809,0.013080546,0.018753419,0.126280008,0.121635019,0.003664646,0.018380534,0.841971713,-0.046070407,0.190366704,0.808777591,0.033547036,1.082968703,0.908168103,Morphology,number of digits,0.1760311780617192,1.6925037138547263e-4,0.17569945342943363,0.17636290269400476,13.530840674768209,0
number of lumbar vertebrae,4878,4835,0.033699344,0.014355872,-0.154138103,0.105056852,-0.018964787,0.020225652,-0.168263789,0.167281632,0.052664139,0.020324282,0.009578709,0.014125702,0.196067642,0.942567545,0.018100112,0.719082885,1.218437394,Morphology,number of lumbar vertebrae,-0.5273487749059634,2.059560513412742e-4,-0.5277524413489905,-0.5269451084629364,-36.74605011775769,0
number of pelvic vertebrae,4880,4835,-0.021043929,0.013607471,0.142695369,0.119590238,0.013361658,0.017812425,0.240328877,0.157169076,-0.034405587,0.020315934,0.090387269,-0.097633509,0.196743066,0.619730134,0.010548858,0.828924227,1.146626492,Morphology,number of pelvic vertebrae,-0.3244516309690099,2.059140254989954e-4,-0.3248552150428996,-0.32404804689512023,-22.610335009745814,0
number of rears - total,5576,5577,0.055292588,0.156682665,1.165007514,0.117705826,0.260213774,0.15668687,1.402289772,0.09933732,-0.204921186,0.014840359,5.13e-43,-0.237282257,0.144868833,0.101468502,0.516400242,0.79224855,0.774269091,Morphology,number of rears - total,0.02295570846358592,1.7935611300191082e-4,0.02260417694169508,0.023307239985476763,1.714086004503615,0.0865407215659042
number of ribs left,6018,5962,0.006202704,0.020167267,0.194956344,0.137719518,-0.025691464,0.020231121,0.102398569,0.130997092,0.031894169,0.018256333,0.080659628,0.092557775,0.187527336,0.621619299,0.036621986,1.002147961,0.995929453,Morphology,number of ribs,0.006223731002688761,1.6697643318208986e-4,0.005896463207384906,0.006550998797992616,0.4816407497424317,0.6300699722373864
number of ribs right,6018,5962,0.015162301,0.020971476,-0.115702546,0.125649324,-0.005929798,0.02240909,-0.138248467,0.14223584,0.021092099,0.018270047,0.248333338,0.022545921,0.187049116,0.904061566,0.043154079,0.909160023,1.082080375,Morphology,number of ribs,-0.17412039944787255,1.6697643318208986e-4,-0.1744476672431764,-0.1737931316525687,-13.474791840986464,0
number of signals,6149,6126,0.77804778,0.605829868,0.189584584,0.096297795,0.791189539,0.605830843,0.536200331,0.089347177,-0.013141759,0.01346916,0.329236111,-0.346615747,0.127622668,0.006618013,1.815704043,0.744985121,0.747256672,Morphology,number of signals,-0.00304478888701858,1.6295991395907746e-4,-0.003364184449302118,-0.0027253933247350422,-0.2385156018491002,0.8114851981120521
number of thoracic vertebrae,4878,4835,-3.27472e-4,0.014444429,0.029703585,0.142896924,-2.0502e-4,0.014573587,-0.058909147,0.137151223,-1.22452e-4,0.020296825,0.995186475,0.088612732,0.19798494,0.654471323,0.003105867,0.997946444,1.002351311,Morphology,number of thoracic vertebrae,-0.004405130397983144,2.059560513412742e-4,-0.004808796841010123,-0.004001463954956165,-0.3069527229079299,0.75888593928972
spleen weight,3364,3373,0.120960756,0.345512769,0.513499144,0.018291954,0.061419215,0.345520306,0.652374237,0.030839664,0.05954154,0.003163771,4.84e-77,-0.138875093,0.034739198,6.47e-5,1.145904842,0.089526904,0.160339648,Morphology,spleen weight,-0.5827547849927156,2.969567292378966e-4,-0.5833368094869887,-0.5821727604984425,-33.81732588304376,0
tibia length,5728,5678,-0.799232684,0.995261521,1.884403831,0.104753864,-0.585646725,0.995268166,0.849293064,0.095453745,-0.213585959,0.012373345,6.28e-66,1.035110768,0.134119626,1.28e-14,4.448173281,0.650122341,0.670465301,Morphology,tibia length,-0.03081215729090733,1.753804320528624e-4,-0.031155896621324012,-0.030468417960490646,-2.3266525794269173,0.02000119016639834
alanine aminotransferase,8831,8789,-0.17268211,0.111735457,-0.76836059,0.094828307,0.099722421,0.111778022,-0.388848849,0.092393964,-0.27240453,0.013372315,3.42e-91,-0.37951174,0.118817772,0.001405316,0.596230514,0.878587487,0.895818617,Physiology,alanine aminotransferase,-0.019422737258992902,1.1352090851779246e-4,-0.01964523415118004,-0.019200240366805763,-1.8229405525069762,0.06832933422220133
albumin,8839,8821,0.859951202,0.147711139,0.451765704,0.048729365,0.365512749,0.147760095,0.287533793,0.055672289,0.494438453,0.007572201,0,0.16423191,0.066645209,0.013738666,0.803901218,0.444778298,0.555000323,Physiology,albumin,-0.2213928599067031,1.1326322789808387e-4,-0.2216148517541561,-0.2211708680592501,-20.80267303863978,0
albumin to creatinine ratio,363,362,-0.486180312,0.106984911,-1.671699185,0.573080956,0.390156101,0.101951063,0.234191554,0.44492222,-0.876336413,0.066329868,7.71e-36,-1.90589074,0.7021811,0.006801709,0.127825269,0.992635243,0.781012852,Physiology,albumin to creatinine ratio,0.23976783665373294,0.002766257020859797,0.23434607252086667,0.2451896007865992,4.558738284212523,6.041889980767934e-6
alkaline phosphatase,8779,8756,0.811874346,0.208943912,-1.058908254,0.037292314,-0.274137445,0.208954445,-0.837155204,0.038588054,1.086011791,0.005443731,0,-0.221753051,0.048199983,4.24e-6,1.14210141,0.342695524,0.37706691,Physiology,alkaline phosphatase,-0.09558043363685197,1.140708060062414e-4,-0.09580400830831165,-0.09535685896539228,-8.949149050284408,0
alpha-amylase,5747,5767,-0.093946254,0.208941884,1.929624573,0.096262409,1.079484252,0.208958921,2.371951874,0.09974008,-1.173430506,0.012679258,0,-0.442327301,0.134030262,9.69083e-4,0.688151315,0.678119186,0.682212171,Physiology,alpha-amylase,-0.006017345754880459,1.7373228253674244e-4,-0.006357854771604411,-0.005676836738156507,-0.456525145816809,0.6480210056556048
aspartate aminotransferase,8763,8727,0.499692883,0.191413382,-1.679021049,0.090280616,0.321934793,0.191425645,-0.947501903,0.085301661,0.177758089,0.012496656,1.16e-45,-0.731519146,0.111454081,5.41e-11,1.037031086,0.833227631,0.818911404,Physiology,aspartate aminotransferase,0.01733073373969091,1.1436462004395348e-4,0.017106583203299153,0.017554884276082667,1.6205823488179874,0.10512526962280555
body temp,1131,562,-0.04464996,0.079334293,0.079633141,0.400637984,0.061338468,0.08173377,0.751887426,0.445314458,-0.105988428,0.051142129,0.038376947,-0.672254286,0.578571436,0.245431827,0.102387322,1.049183875,0.883824381,Physiology,body temp,0.17106071242693346,0.0013337434732541447,0.16844662325473997,0.17367480159912696,4.6839701941617005,3.038592901960513e-6
calcium,8802,8788,0.181175633,0.212145937,0.134816917,0.058936761,0.224830263,0.212196104,0.105959942,0.066808891,-0.04365463,0.009100564,1.62e-6,0.028856976,0.08021617,0.719045802,1.156605036,0.536152543,0.66360099,Physiology,calcium,-0.21326242496321415,1.1371396788856683e-4,-0.21348530024481488,-0.21303954968161343,-19.998961126532947,0
chloride,6417,6384,0.079712888,0.283569726,-0.440376211,0.112853046,-0.401236617,0.28358666,-0.945540867,0.110396939,0.480949505,0.01563988,2.11e-200,0.505164656,0.143847492,4.46606e-4,1.112167654,0.902425849,0.86639656,Physiology,chloride,0.0407433969346083,1.562632467866836e-4,0.040437126598799104,0.0410496672704175,3.2593335954668854,0.0011196580164147818
creatine kinase,4544,4554,0.567128751,0.181498126,-1.00497922,0.129759436,0.318676234,0.181527007,-1.181878684,0.142242865,0.248452517,0.017518693,3.58e-45,0.176899465,0.187321476,0.345009313,0.546404587,0.841797647,0.828742877,Physiology,creatine kinase,0.015629956269941764,2.198771347069917e-4,0.015199005004892198,0.01606090753499133,1.0540658144593749,0.2918807837840407
creatinine,7932,7956,0.174377657,0.220576212,0.024099397,0.019081394,0.077397487,0.220577325,-0.095968275,0.018762654,0.096980169,0.00261312,3.5e-289,0.120067671,0.023182395,2.25e-7,1.187305139,0.163741537,0.16552995,Physiology,creatinine,-0.010862764273810803,1.2589730358978496e-4,-0.011109518454597487,-0.010616010093024118,-0.9681265734366723,0.3329958985585215
free fatty acids,3292,3368,0.73063734,0.343112115,0.343752004,0.070908631,0.751776345,0.34312014,0.260135588,0.068934056,-0.021139005,0.011370415,0.06305377,0.083616416,0.080709722,0.300233202,0.906272244,0.46003799,0.467554945,Physiology,free fatty acids,-0.01620436884870897,3.004296532099631e-4,-0.016793200148888358,-0.015615537548529585,-0.9348904467424735,0.34987866595039074
fructosamine,4496,4537,0.639123798,0.468080181,0.650638828,0.118850331,0.368491132,0.468049365,1.161224215,0.126241831,0.270632666,0.016191129,8.63e-62,-0.510585387,0.167744414,0.0023426,1.004937817,0.77254471,0.765902166,Physiology,fructosamine,0.008636448591090322,2.214639821239747e-4,0.00820238716225451,0.009070510019926134,0.5803415159912184,0.561698815327488
glycerol,2083,2081,0.30393562,0.488571561,1.855189626,0.173175292,0.629724347,0.488776549,3.820026865,0.234894243,-0.325788727,0.02914048,1.3e-28,-1.964837238,0.291888807,1.91e-11,0.680049237,0.873066659,1.002546299,Physiology,glycerol,-0.13828666340500864,4.8053831375157027e-4,-0.13922850119315333,-0.13734482561686395,-6.308357366643272,3.1143310152970116e-10
hdl cholesterol,483,470,-0.696911499,0.351172671,1.063338485,0.41273555,0.574602977,0.351002991,0.691982478,0.325380225,-1.271514476,0.045623822,2.45e-125,0.371356007,0.505862993,0.463066926,0.494359459,0.729672897,0.678345026,Physiology,hdl-cholesterol,0.0729115473312561,0.002103442479363703,0.0687888758281516,0.0770342188343606,1.5897579109091946,0.11222174498299431
hdl-cholesterol,8693,8686,-0.953301974,0.552936511,1.780100402,0.066291006,-0.04410812,0.552935629,1.742371826,0.06153545,-0.909193852,0.009116058,0,0.037728576,0.081018192,0.641450201,2.872073749,0.613088099,0.587999376,Physiology,hdl-cholesterol,0.04178271035388501,1.1509468403902927e-4,0.0415571289183565,0.042008291789413524,3.894654848983393,9.870665021516345e-5
iron,7031,7047,0.308696412,0.211004588,1.332201709,0.100815707,-0.437086988,0.210976035,0.708691835,0.093050519,0.745783399,0.013299625,0,0.623509874,0.126129684,7.77e-7,0.811917928,0.827731049,0.747970455,Physiology,iron,0.10132496454745941,1.4208600341830094e-4,0.10104648109805231,0.10160344799686652,8.50042835179195,0
lactate dehydrogenase,593,596,0.040188679,0.233735132,-1.630718764,0.497315747,0.235332957,0.234006662,-0.029266771,0.502349418,-0.195144278,0.051637636,1.65253e-4,-1.601451993,0.705599202,0.023409609,0.562765015,0.867565904,0.912158774,Physiology,lactate dehydrogenase,-0.05011833179552626,0.0016849307290483762,-0.05342073534090589,-0.046815928250146625,-1.2209716540152713,0.22233921992858474
ldl-cholesterol,2714,2717,-0.962116157,0.315779213,0.075687341,0.072419193,-1.018228969,0.315860515,2.299666199,0.109019115,0.056112812,0.012583892,8.4e-6,-2.223978858,0.129894116,4.84e-64,0.890288394,0.390926045,0.526459696,Physiology,ldl-cholesterol,-0.2976561753945995,3.6839208154486634e-4,-0.2983782106066172,-0.2969341401825818,-15.508141460860728,0
lipase,1274,1282,0.437808472,0.154684022,0.23196266199999999,0.378940649,0.277508557,0.154176877,-0.959890651,0.280791943,0.160299915,0.039042001,4.16e-5,1.191853313,0.471356503,0.011513053,0.316106197,1.054242489,0.913483235,Physiology,lipase,0.14331519786073965,7.830930396703773e-4,0.1417803637064417,0.1448500320150376,5.121363072359489,3.259526710763794e-7
magnesium,2487,2480,0.66947258,0.562020482,-0.004856071,0.018364397,0.546473608,0.562022544,-0.259710179,0.020322433,0.122998972,0.003056222,1.04e-306,0.254854107,0.023667223,9.59e-27,1.375934487,0.106382516,0.108903206,Physiology,magnesium,-0.023418797186151735,4.028205388659754e-4,-0.024208310934562063,-0.022629283437741406,-1.1668332129040804,0.24333377015100655
microalbumin (calculated),358,356,-0.506704402,0.178226165,-2.201766315,0.587961732,0.316764691,0.174921765,-0.059474382,0.451775547,-0.823469094,0.067183343,1.84e-31,-2.142291933,0.712450867,0.00273227,0.237873149,1.005776895,0.775105722,Physiology,microalbumin (calculated),0.26050822569663135,0.002809010928314988,0.25500266544495453,0.26601378594830816,4.915239980171666,1.1014639449413721e-6
phosphorus,8766,8783,0.204905537,0.176217689,-0.187933558,0.089193457,0.043985952,0.176224056,0.158625502,0.082603523,0.160919584,0.012192094,1.38e-39,-0.34655906,0.108960918,0.00147236,0.953632019,0.819999064,0.794388061,Physiology,phosphorus,0.031731225555441674,1.1397970463621396e-4,0.03150782943938618,0.031954621671497166,2.972166142345094,0.0029610785057203604
potassium,6389,6344,0.305046657,0.284441265,-0.542656655,0.101885871,0.817960318,0.28444921,0.166704759,0.098223535,-0.512913661,0.014041635,6.89e-278,-0.709361414,0.128974842,3.87e-8,1.118993981,0.815052412,0.768544624,Physiology,potassium,0.05875323742576358,1.5709881299389691e-4,0.05844532941028155,0.059061145441245605,4.68754392480096,2.79371132805295e-6
sodium,6415,6380,-0.093801867,0.204083664,0.020599637,0.114756392,0.271500301,0.204076552,-0.252449518,0.109269485,-0.365302168,0.015699725,2.52e-117,0.273049155,0.144406922,0.058669447,0.790579784,0.919708677,0.854650514,Physiology,sodium,0.07336390692752513,1.5633666615291747e-4,0.07305749269240236,0.0736703211626479,5.867485540105028,4.534042030712726e-9
